OTUID	JF1	JF10	JF101	JF102	JF103	JF104	JF105	JF106	JF107	JF108	JF109	JF11	JF110	JF111	JF112	JF113	JF114	JF115	JF116	JF117	JF118	JF119	JF12	JF120	JF121	JF122	JF123	JF124	JF125	JF126	JF127	JF128	JF129	JF13	JF130	JF131	JF132	JF14	JF15	JF16	JF17	JF18	JF19	JF2	JF20	JF21	JF22	JF23	JF24	JF25	JF26	JF27	JF28	JF29	JF3	JF30	JF301	JF302	JF303	JF304	JF305	JF306	JF307	JF308	JF309	JF31	JF310	JF311	JF312	JF313	JF314	JF315	JF316	JF317	JF318	JF319	JF32	JF320	JF321	JF322	JF4	JF401	JF402	JF403	JF404	JF405	JF406	JF407	JF408	JF409	JF410	JF411	JF412	JF413	JF414	JF415	JF416	JF417	JF418	JF5	JF7	JF8	JF9
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria;D_3__Methanobacteriales	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	644.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	323.0	0.0	0.0	0.0	0.0	0.0	374.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	831.0	0.0	0.0	0.0	178.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	604.0	413.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales	14.0	5.0	6.0	0.0	11.0	9.0	0.0	37.0	14.0	18.0	0.0	21.0	0.0	4.0	3.0	8.0	0.0	17.0	0.0	25.0	0.0	0.0	0.0	0.0	24.0	105.0	93.0	0.0	79.0	8.0	11.0	0.0	0.0	3097.0	8.0	11.0	127.0	0.0	11.0	11.0	260.0	0.0	70.0	17.0	8.0	132.0	24.0	6.0	8.0	14.0	0.0	42.0	0.0	23.0	17.0	0.0	10.0	634.0	0.0	752.0	0.0	1109.0	4.0	2236.0	0.0	0.0	465.0	0.0	1015.0	0.0	251.0	10.0	870.0	5.0	230.0	0.0	0.0	1279.0	7.0	1456.0	32.0	8.0	776.0	12.0	723.0	6.0	347.0	16.0	25.0	37.0	1170.0	0.0	1158.0	10.0	31.0	104.0	45.0	11.0	408.0	143.0	535.0	0.0	75.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	4.0	0.0	2.0	0.0	0.0	7.0	2.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	24.0	0.0	1039.0	7.0	56.0	17.0	30.0	6.0	0.0	0.0	20.0	0.0	0.0	7.0	21.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales	13.0	23.0	21.0	4.0	14.0	10.0	23.0	19.0	3.0	3.0	48.0	2.0	12.0	22.0	9.0	26.0	31.0	28.0	8.0	20.0	35.0	3.0	10.0	42.0	63.0	6.0	14.0	11.0	16.0	19.0	35.0	35.0	15.0	0.0	48.0	29.0	22.0	15.0	23.0	6.0	18.0	35.0	0.0	3.0	5.0	17.0	0.0	2.0	5.0	8.0	3.0	5.0	4.0	33.0	0.0	10.0	26.0	17.0	9.0	4.0	0.0	10.0	9.0	2.0	2.0	0.0	33.0	11.0	4.0	15.0	33.0	0.0	0.0	13.0	5.0	4.0	12.0	15.0	10.0	0.0	6.0	29.0	18.0	49.0	35.0	21.0	302.0	42.0	143.0	12.0	62.0	12.0	43.0	23.0	57.0	20.0	0.0	15.0	15.0	19.0	0.0	7.0	4.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales	143.0	144.0	239.0	113.0	66.0	61.0	91.0	50.0	43.0	62.0	103.0	179.0	189.0	72.0	95.0	85.0	134.0	62.0	34.0	99.0	216.0	55.0	176.0	100.0	94.0	64.0	87.0	67.0	47.0	46.0	76.0	125.0	165.0	132.0	127.0	146.0	93.0	176.0	86.0	256.0	123.0	450.0	65.0	78.0	63.0	1001.0	82.0	138.0	328.0	27.0	38.0	242.0	237.0	102.0	51.0	43.0	129.0	295.0	56.0	259.0	67.0	334.0	52.0	342.0	177.0	126.0	91.0	123.0	224.0	18.0	102.0	98.0	300.0	59.0	118.0	115.0	169.0	514.0	76.0	220.0	117.0	34.0	262.0	91.0	184.0	78.0	218.0	65.0	317.0	138.0	153.0	159.0	475.0	92.0	72.0	98.0	34.0	58.0	138.0	302.0	541.0	60.0	162.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales	29687.0	2125.0	20037.0	6718.0	15752.0	17322.0	11663.0	14668.0	13473.0	18332.0	19193.0	16503.0	4064.0	7251.0	11722.0	15993.0	9483.0	14563.0	12320.0	17278.0	7154.0	7892.0	12994.0	15268.0	7775.0	17626.0	6992.0	13925.0	23173.0	19901.0	14098.0	7910.0	12271.0	21868.0	12994.0	16304.0	21945.0	11083.0	6156.0	17189.0	11462.0	16507.0	18118.0	14722.0	7467.0	26713.0	15820.0	14077.0	1083.0	19202.0	14282.0	15105.0	7034.0	13363.0	15961.0	12144.0	17005.0	4157.0	6732.0	9659.0	17315.0	19973.0	17641.0	13957.0	7154.0	20047.0	7176.0	13531.0	9506.0	17542.0	11757.0	13573.0	9271.0	13496.0	9264.0	22129.0	8441.0	2051.0	13566.0	7974.0	21333.0	4075.0	12690.0	22251.0	11790.0	10639.0	6872.0	20932.0	6986.0	18137.0	1223.0	7156.0	3370.0	16726.0	4436.0	19151.0	6013.0	21366.0	3216.0	10150.0	16620.0	23709.0	30870.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales	35.0	0.0	22.0	6.0	0.0	7.0	12.0	0.0	4.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	7.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	9.0	2.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	9.0	0.0	7.0	6.0	0.0	10.0	36.0	16.0	6.0	7.0	8.0	4.0	0.0	14.0	4.0	7.0	6.0	25.0	8.0	0.0	7.0	0.0	0.0	7.0	97.0	7.0	0.0	7.0	0.0	11.0	0.0	12.0	3.0	0.0	13.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	5.0	0.0	12.0	0.0	6.0	4.0	6.0	9.0	0.0	28.0	0.0	0.0	0.0	0.0	3.0	5.0	3.0	7.0	11.0	9.0	10.0	0.0	23.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;__	1675.0	167.0	20.0	4.0	12.0	15.0	79.0	15.0	77.0	6.0	0.0	898.0	40.0	6.0	17.0	49.0	0.0	121.0	5.0	50.0	21.0	0.0	638.0	7.0	0.0	6.0	0.0	153.0	8.0	175.0	3.0	5.0	2.0	902.0	20.0	13.0	0.0	238.0	1024.0	349.0	854.0	1590.0	716.0	579.0	531.0	1275.0	732.0	1126.0	2.0	1667.0	148.0	998.0	124.0	1650.0	1382.0	579.0	410.0	74.0	4.0	235.0	80.0	119.0	86.0	376.0	101.0	557.0	148.0	286.0	116.0	0.0	134.0	30.0	42.0	214.0	142.0	85.0	404.0	64.0	41.0	48.0	8.0	186.0	167.0	665.0	344.0	288.0	44.0	393.0	215.0	573.0	104.0	477.0	214.0	457.0	348.0	657.0	165.0	745.0	286.0	398.0	327.0	102.0	1066.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria;D_3__Gastranaerophilales	18.0	3.0	62.0	28.0	0.0	105.0	4.0	0.0	0.0	15.0	77.0	0.0	0.0	8.0	2.0	21.0	0.0	40.0	0.0	9.0	0.0	6.0	2.0	27.0	18.0	0.0	4.0	34.0	6.0	11.0	10.0	0.0	0.0	5.0	2.0	15.0	5.0	0.0	0.0	13.0	5.0	0.0	5.0	2.0	57.0	0.0	0.0	16.0	0.0	49.0	11.0	7.0	0.0	0.0	7.0	12.0	8.0	0.0	2.0	5.0	22.0	27.0	4.0	12.0	4.0	0.0	3.0	0.0	3.0	0.0	59.0	3.0	0.0	0.0	85.0	3.0	6.0	0.0	0.0	23.0	0.0	12.0	25.0	4.0	37.0	12.0	2.0	3.0	6.0	49.0	10.0	6.0	0.0	14.0	0.0	39.0	2.0	108.0	0.0	0.0	0.0	4.0	35.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
