OTUID	JF1	JF10	JF101	JF102	JF103	JF104	JF105	JF106	JF107	JF108	JF109	JF11	JF110	JF111	JF112	JF113	JF114	JF115	JF116	JF117	JF118	JF119	JF12	JF120	JF121	JF122	JF123	JF124	JF125	JF126	JF127	JF128	JF129	JF13	JF130	JF131	JF132	JF14	JF15	JF16	JF17	JF18	JF19	JF2	JF20	JF21	JF22	JF23	JF24	JF25	JF26	JF27	JF28	JF29	JF3	JF30	JF301	JF302	JF303	JF304	JF305	JF306	JF307	JF308	JF309	JF31	JF310	JF311	JF312	JF313	JF314	JF315	JF316	JF317	JF318	JF319	JF32	JF320	JF321	JF322	JF4	JF401	JF402	JF403	JF404	JF405	JF406	JF407	JF408	JF409	JF410	JF411	JF412	JF413	JF414	JF415	JF416	JF417	JF418	JF5	JF7	JF8	JF9
D_0__Bacteria;D_1__Lentisphaerae;D_2__Lentisphaeria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Patescibacteria;D_2__Saccharimonadia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	6.0	0.0	44.0	0.0	2.0	5.0	36.0	0.0	2.0	0.0	12.0	11.0	0.0	0.0	0.0	9.0	0.0	35.0	11.0	11.0	7.0	19.0	30.0	6.0	0.0	0.0	0.0	10.0	5.0	0.0	11.0	0.0	0.0	28.0	7.0	9.0	4.0	4.0	11.0	4.0	7.0	0.0	2.0	9.0	0.0	9.0	2.0	5.0	0.0	30.0	0.0	7.0	16.0	6.0	2.0	17.0	14.0	12.0	4.0	29.0	11.0	63.0	7.0	54.0	0.0	19.0	6.0	11.0	7.0	4.0	32.0	7.0	0.0	4.0	33.0	4.0	0.0	7.0	0.0	26.0	0.0	2.0	75.0	16.0	31.0	11.0	0.0	14.0	0.0	83.0	0.0	9.0	0.0	4.0	10.0	31.0	20.0	79.0	5.0	3.0	18.0	14.0	7.0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria	75.0	71.0	530.0	100.0	117.0	42.0	149.0	16.0	142.0	69.0	72.0	122.0	76.0	76.0	136.0	65.0	91.0	44.0	131.0	61.0	106.0	104.0	220.0	173.0	56.0	50.0	66.0	135.0	37.0	55.0	218.0	578.0	61.0	59.0	323.0	181.0	79.0	144.0	81.0	228.0	63.0	615.0	70.0	287.0	214.0	154.0	71.0	82.0	71.0	114.0	58.0	125.0	201.0	46.0	104.0	19.0	190.0	143.0	36.0	28.0	484.0	90.0	55.0	168.0	71.0	68.0	64.0	290.0	36.0	103.0	239.0	238.0	40.0	88.0	37.0	334.0	105.0	84.0	73.0	19.0	20.0	69.0	258.0	98.0	641.0	99.0	58.0	209.0	124.0	135.0	24.0	177.0	520.0	144.0	130.0	136.0	4.0	279.0	113.0	165.0	111.0	156.0	71.0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	441.0	26.0	514.0	212.0	450.0	399.0	380.0	275.0	159.0	516.0	146.0	401.0	109.0	29.0	108.0	147.0	91.0	383.0	218.0	1024.0	49.0	314.0	322.0	316.0	66.0	2209.0	333.0	96.0	1359.0	457.0	911.0	307.0	412.0	939.0	279.0	466.0	562.0	155.0	66.0	503.0	410.0	252.0	695.0	112.0	88.0	739.0	263.0	345.0	47.0	130.0	135.0	352.0	145.0	230.0	302.0	208.0	386.0	943.0	94.0	2789.0	264.0	2503.0	144.0	1921.0	104.0	478.0	996.0	491.0	3226.0	168.0	1209.0	240.0	2774.0	158.0	1161.0	192.0	128.0	307.0	193.0	2127.0	742.0	94.0	1152.0	210.0	521.0	381.0	885.0	419.0	200.0	526.0	321.0	189.0	400.0	223.0	420.0	281.0	9.0	480.0	252.0	692.0	1504.0	228.0	1053.0
D_0__Bacteria;D_1__Proteobacteria;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes	32.0	208.0	1238.0	198.0	15.0	221.0	165.0	614.0	11.0	386.0	76.0	207.0	64.0	288.0	277.0	1317.0	296.0	250.0	491.0	616.0	352.0	749.0	2282.0	510.0	8.0	61.0	62.0	60.0	23.0	500.0	260.0	72.0	143.0	100.0	1116.0	97.0	35.0	1151.0	909.0	624.0	944.0	288.0	92.0	47.0	1727.0	151.0	188.0	647.0	282.0	292.0	46.0	856.0	1448.0	461.0	553.0	142.0	336.0	6.0	133.0	25.0	13.0	16.0	862.0	289.0	452.0	413.0	533.0	98.0	18.0	1252.0	228.0	316.0	14.0	125.0	6.0	534.0	1028.0	45.0	725.0	239.0	510.0	44.0	426.0	226.0	538.0	142.0	241.0	81.0	329.0	681.0	406.0	201.0	412.0	41.0	501.0	460.0	269.0	45.0	230.0	1066.0	202.0	647.0	114.0
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae	96.0	26.0	4510.0	722.0	1512.0	112.0	0.0	1136.0	2223.0	340.0	329.0	6.0	634.0	5446.0	3275.0	6486.0	539.0	0.0	35.0	2915.0	3131.0	1613.0	18.0	1558.0	8820.0	6.0	4051.0	4.0	576.0	312.0	1968.0	809.0	61.0	5.0	68.0	2111.0	732.0	19.0	0.0	0.0	7.0	139.0	2.0	2365.0	0.0	22.0	13.0	758.0	57.0	188.0	198.0	4.0	69.0	0.0	0.0	0.0	272.0	4.0	6.0	296.0	74.0	184.0	48.0	6.0	4235.0	31.0	0.0	1190.0	0.0	0.0	2379.0	67.0	6.0	11.0	3590.0	22.0	23.0	0.0	21.0	6.0	17.0	0.0	156.0	5.0	2118.0	13.0	0.0	246.0	4030.0	1032.0	0.0	44.0	850.0	0.0	985.0	689.0	46.0	140.0	67.0	41.0	6.0	56.0	539.0
D_0__Bacteria;__;__	187.0	540.0	120.0	215.0	65.0	156.0	390.0	78.0	68.0	247.0	296.0	1101.0	142.0	119.0	918.0	231.0	163.0	420.0	285.0	121.0	399.0	277.0	636.0	165.0	26.0	45.0	36.0	461.0	99.0	777.0	172.0	254.0	294.0	484.0	492.0	288.0	130.0	540.0	278.0	373.0	153.0	532.0	132.0	245.0	117.0	65.0	243.0	137.0	239.0	329.0	136.0	248.0	324.0	411.0	271.0	173.0	161.0	120.0	35.0	239.0	264.0	207.0	174.0	174.0	66.0	268.0	115.0	110.0	165.0	246.0	121.0	272.0	177.0	114.0	132.0	472.0	964.0	129.0	334.0	124.0	442.0	135.0	683.0	523.0	1113.0	289.0	287.0	728.0	584.0	256.0	61.0	369.0	868.0	389.0	116.0	70.0	88.0	188.0	172.0	256.0	299.0	735.0	181.0
D_0__Eukaryota;D_1__Excavata;D_2__Discoba	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	10.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unassigned;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
