OTUID	JF1	JF10	JF101	JF102	JF103	JF104	JF105	JF106	JF107	JF108	JF109	JF11	JF110	JF111	JF112	JF113	JF114	JF115	JF116	JF117	JF118	JF119	JF12	JF120	JF121	JF122	JF123	JF124	JF125	JF126	JF127	JF128	JF129	JF13	JF130	JF131	JF132	JF14	JF15	JF16	JF17	JF18	JF19	JF2	JF20	JF21	JF22	JF23	JF24	JF25	JF26	JF27	JF28	JF29	JF3	JF30	JF301	JF302	JF303	JF304	JF305	JF306	JF307	JF308	JF309	JF31	JF310	JF311	JF312	JF313	JF314	JF315	JF316	JF317	JF318	JF319	JF32	JF320	JF321	JF322	JF4	JF401	JF402	JF403	JF404	JF405	JF406	JF407	JF408	JF409	JF410	JF411	JF412	JF413	JF414	JF415	JF416	JF417	JF418	JF5	JF7	JF8	JF9
D_0__Archaea;D_1__Euryarchaeota	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	644.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	323.0	0.0	0.0	0.0	0.0	0.0	374.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	831.0	0.0	0.0	0.0	178.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	604.0	413.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria	170.0	172.0	266.0	117.0	91.0	80.0	114.0	106.0	60.0	83.0	151.0	205.0	201.0	98.0	110.0	123.0	165.0	109.0	42.0	144.0	258.0	60.0	186.0	142.0	192.0	175.0	194.0	78.0	142.0	73.0	122.0	160.0	183.0	3232.0	189.0	186.0	244.0	191.0	120.0	273.0	401.0	491.0	135.0	98.0	76.0	1150.0	106.0	146.0	344.0	49.0	41.0	289.0	241.0	158.0	68.0	53.0	165.0	946.0	65.0	1015.0	67.0	1453.0	65.0	2580.0	179.0	126.0	589.0	134.0	1243.0	33.0	386.0	108.0	1170.0	77.0	353.0	119.0	181.0	1808.0	93.0	1676.0	155.0	71.0	1056.0	156.0	966.0	105.0	1906.0	130.0	541.0	204.0	1415.0	177.0	1676.0	125.0	180.0	222.0	79.0	91.0	582.0	464.0	1076.0	67.0	241.0
D_0__Bacteria;D_1__Bacteroidetes	31397.0	2292.0	20079.0	6728.0	15764.0	17344.0	11754.0	14683.0	13554.0	18338.0	19193.0	17406.0	4104.0	7257.0	11739.0	16042.0	9483.0	14687.0	12332.0	17337.0	7175.0	7892.0	13632.0	15275.0	7775.0	17632.0	6995.0	14087.0	23183.0	20076.0	14101.0	7915.0	12273.0	22786.0	13014.0	16317.0	21954.0	11321.0	7187.0	17544.0	12316.0	18107.0	18870.0	15317.0	8004.0	27995.0	16560.0	15207.0	1085.0	20883.0	14434.0	16110.0	7164.0	15038.0	17351.0	12723.0	17422.0	4231.0	6736.0	9901.0	17492.0	20099.0	17727.0	14340.0	7255.0	20615.0	7324.0	13829.0	9625.0	17542.0	11904.0	13606.0	9313.0	13710.0	9406.0	22214.0	8845.0	2115.0	13609.0	8028.0	21346.0	4261.0	12869.0	22916.0	12140.0	10931.0	6922.0	21334.0	7201.0	18738.0	1327.0	7633.0	3584.0	17183.0	4787.0	19813.0	6181.0	22118.0	3513.0	10557.0	16957.0	23811.0	31959.0
D_0__Bacteria;D_1__Cyanobacteria	18.0	3.0	62.0	28.0	0.0	105.0	4.0	0.0	0.0	15.0	77.0	0.0	0.0	8.0	2.0	24.0	0.0	40.0	0.0	11.0	0.0	6.0	2.0	27.0	18.0	0.0	4.0	34.0	6.0	11.0	10.0	6.0	0.0	5.0	2.0	15.0	5.0	0.0	0.0	13.0	5.0	0.0	5.0	2.0	57.0	0.0	0.0	16.0	0.0	49.0	11.0	7.0	0.0	0.0	7.0	12.0	8.0	0.0	2.0	5.0	22.0	27.0	4.0	12.0	4.0	0.0	3.0	0.0	3.0	0.0	59.0	3.0	0.0	4.0	85.0	3.0	6.0	0.0	0.0	27.0	0.0	12.0	25.0	4.0	37.0	12.0	2.0	3.0	6.0	49.0	10.0	6.0	0.0	16.0	0.0	39.0	2.0	108.0	0.0	0.0	0.0	4.0	35.0
D_0__Bacteria;D_1__Deferribacteres	8.0	0.0	99.0	0.0	0.0	0.0	9.0	7.0	0.0	0.0	4.0	3.0	0.0	0.0	4.0	4.0	0.0	0.0	3.0	7.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	6.0	0.0	0.0	25.0	2.0	0.0	8.0	12.0	8.0	35.0	0.0	3.0	0.0	0.0	0.0	11.0	4.0	0.0	0.0	0.0	0.0	0.0	9.0	6.0	5.0	0.0	4.0	12.0	0.0	20.0	14.0	0.0	0.0	11.0	0.0	4.0	10.0	0.0	0.0	15.0	14.0	3.0	2.0	63.0	16.0	0.0	4.0	43.0	0.0	0.0	2.0	0.0	15.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	7.0	0.0	190.0	0.0	4.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	5.0	0.0
D_0__Bacteria;D_1__Deinococcus-Thermus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Epsilonbacteraeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Firmicutes	10569.0	17605.0	16076.0	20591.0	17560.0	24690.0	18477.0	17205.0	13708.0	27495.0	13043.0	27396.0	23612.0	14986.0	21701.0	20048.0	17868.0	22460.0	21153.0	24325.0	14599.0	15541.0	28491.0	20457.0	20934.0	7995.0	13853.0	20087.0	15139.0	19624.0	15250.0	14081.0	16353.0	25338.0	22754.0	17237.0	19821.0	19539.0	22440.0	27976.0	21924.0	26161.0	20063.0	27460.0	25618.0	14112.0	21549.0	22123.0	13086.0	26541.0	10245.0	18636.0	23761.0	19792.0	22160.0	13917.0	21744.0	45332.0	8617.0	32653.0	22954.0	24472.0	20716.0	30301.0	20444.0	18160.0	39998.0	13864.0	26732.0	22313.0	18759.0	18065.0	29472.0	16369.0	13854.0	24101.0	25225.0	36676.0	24357.0	23861.0	26377.0	11219.0	30021.0	23924.0	34884.0	22615.0	18518.0	32282.0	21543.0	26282.0	12761.0	10831.0	18485.0	23275.0	14255.0	20149.0	18485.0	20255.0	15477.0	22549.0	27785.0	27004.0	17342.0
D_0__Bacteria;D_1__Fusobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Lentisphaerae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
