X151.2	X151.3	X151.4	X151.5	X152.2	X152.3	X152.4	X152.5	X153.2	X153.3	X154.2	X154.3	X154.4	X154.5	X156.2	X156.3	X156.4	X156.5	X157.2	X157.3	X157.4	X158.2	X158.3	X158.4	X158.5	X159.2	X159.3	X160.2	X160.3	X160.4	X160.5	X161.2	X161.3	X161.4	X161.5	X163.2	X163.3	X163.4	X163.5	X164.2	X164.4	X164.5	X165.2	X165.3	X165.5	X166.2	X166.3	X166.4	X166.5	X167.3.1	X167.3.2	X167.4	X167.5	X168.2	X168.3	X168.4	X168.5	X169.3	X169.4	X169.5	X170.2	X170.3	X170.4	X170.5	X171.2	X171.3	X171.5	X172.2	X172.3	X172.4	X172.5	X173.2	X173.3	X173.4	X173.5	X174.2	X174.3	X174.5	X175.2	X175.3	X175.4	X175.5	X176.3.1	X176.3.2	X176.4	X177.3	X177.4	X178.4	X179.3	X179.4	X179.5	X180.2	X180.3	X180.4	X180.5	X181.2	X181.3	X181.4	X182.2	X182.3	X182.4	X182.5	CMV002	CMV003	CMV004	CMV005	CMV006	CMV007	CMV008	CMV009	CMV016.1	CMV016.2	CMV017.1	CMV017.2	CMV018.1	CMV018.2	CMV020.1	CMV020.2	CMV021.1	CMV022.2	CMV023.1	CMV024.2	CMV025.1	CMV025.2	CMV026.1	CMV026.2	CMV027.1	CMV027.2	CMV028	CMV030	CMV031	CMV035.1	CMV038.1	CMV039.1	CMV039.2	CMV040.1	CMV040.2	CMV041.1	CMV041.2	CMV042.1	CMV042.2	CMV043.1	CMV043.2	CMV044.1	CMV044.2	CMV047	CMV048	CMV050	CMV051.1	CMV051.2	CMV051	CMV052.1	CMV052.2	CMV053.1	CMV053.2	CMV053	CMV054.2	CMV055.1	CMV056	CMV057	CMV058.1	CMV059.1	CMV060.1	CMV061	CMV062	CMV066.1	CMV067.1	CMV067.2	CMV068	CMV070.1	CMV072.1	CMV074	CMV075.2	CMV076.1	CMV076.2	CMV077.1	CMV077.2	CMV079.2	CMV080.1	CMV080.2	CMV081.1	CMV081.2	CMV082.2	CMV083.1	CMV083.2	CMV084.1	CMV085.1	CMV085.2	CMV088.1	CMV088.2	CMV089.1	CMV089.2	CMV090.1	CMV090.2	CMV091.1	CMV092.1	CMV093.1	CMV094.1	CMV094.2	CMV095.1	CMV096.1	CMV097.1	CMV097.2	CMV098.1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae	0	0	0	0	0	0	0	0	0.05207	0.02194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02504	0	0	0.08278	0	0	0.05175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03178	0	0	0	0	0	0	0	0	0	0	0	0	0.39621	0	0	0	0	0	0.01596	0	0	0	0	0	0	0	0	0.15318	0	0.02889	0.33131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5014	0.30801	0.02547	0	0	0	0	0.05868	0.12163	0	0.10604	0	0.42173	0.03688	0	0	0.04423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02494	0	0	0	0	0	0	0	0	0	0	0.00201	0	0	0	0	0	0	0	0.00312	0.0918	0	0	0	0	0	0.0793	0	0	0	0.02723	0	0	0	0	0	0	0	0	0	0.29868	0	0.00077	0	0.25143	0.05615	0.00186	0	0	0	0	0	0	0.22784	0	0	0.03778	0.36314	0.0139	0	0	0	0	0.02465	0	0	0	0.66231	0.03006	0.0269	0	0.09377	0.32399	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae|t__GCF_000210055	0	0	0	0	0	0	0	0	0.05207	0.02194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02504	0	0	0.08278	0	0	0.05175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03178	0	0	0	0	0	0	0	0	0	0	0	0	0.39621	0	0	0	0	0	0.01596	0	0	0	0	0	0	0	0	0.15318	0	0.02889	0.33131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5014	0.30801	0.02547	0	0	0	0	0.05868	0.12163	0	0.10604	0	0.42173	0.03688	0	0	0.04423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02494	0	0	0	0	0	0	0	0	0	0	0.00201	0	0	0	0	0	0	0	0.00312	0.0918	0	0	0	0	0	0.0793	0	0	0	0.02723	0	0	0	0	0	0	0	0	0	0.29868	0	0.00077	0	0.25143	0.05615	0.00186	0	0	0	0	0	0	0.22784	0	0	0.03778	0.36314	0.0139	0	0	0	0	0.02465	0	0	0	0.66231	0.03006	0.0269	0	0.09377	0.32399	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella	0	0	0.02432	0	0	0	0	0	0	0	0	0	0	0	0	0.01126	0	0	0	0.02939	0.0236	0	0	0	0	0	0	0	0	0	0	0	0.01804	0	0	0.09287	0.41644	0.12085	0	0	0	0	0	0	0	0	0.00168	0	0.07385	0.00105	0	0.00512	0.00061	0.07563	0.12847	1.53232	0.08288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01649	0.00861	0	0	0	0	0.05164	0.00771	0.07163	0	0	0	0	0	0.0013	0.00191	0.0143	0.00492	0	0	0	0	0	0	0	0	0.02748	0	0.00055	0	0.02446	0	0	0	0	0	0	0.00709	0.01491	0.00018	0.00059	0.04285	0.14522	0	0	0.01874	0.01101	0.07599	0.00606	0.04115	0.03588	0.06058	0.10691	0.06375	0.01334	0.01512	0.02727	0	1.13537	0.04993	3e-04	0.01011	0	0.03703	0.02362	0.08108	0	0.00687	0.12321	0	0.02488	0.00571	0	0	0	0	0.01836	0.00022	0	0.02716	0.00286	0.10481	0.27747	0.03647	0	0	0	0	0	0	0	0	0	0	0	0	0.00921	0.07519	0.01733	0	0	0	0	0	0.01787	0.00524	0	0.03018	0	0	0	0.00693	0	0	0	0	0.00817	0.01057	0.00102	0	0	0	0	0	0.00551	0	0	0	0	0	0.10599
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_profusa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00267
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_profusa|t__GCF_000468755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00267
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_uli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02727	0	0	0	0	0	0	0	0.00554	0.01783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_uli|t__GCF_000143845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02727	0	0	0	0	0	0	0	0.00554	0.01783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_unclassified	0	0	0.02432	0	0	0	0	0	0	0	0	0	0	0	0	0.01126	0	0	0	0.02939	0.0236	0	0	0	0	0	0	0	0	0	0	0	0.01804	0	0	0.09287	0.41644	0.12085	0	0	0	0	0	0	0	0	0.00168	0	0.07385	0.00105	0	0.00512	0.00061	0.07563	0.12847	1.53232	0.08288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01649	0.00861	0	0	0	0	0.05164	0.00771	0.07163	0	0	0	0	0	0.0013	0.00114	0.0143	0.00492	0	0	0	0	0	0	0	0	0.02748	0	0.00055	0	0.02068	0	0	0	0	0	0	0.00709	0.01491	0.00018	0.00059	0.04285	0.14522	0	0	0.01874	0.01101	0.07599	0.00606	0.04115	0.03588	0.06058	0.10691	0.06375	0.01334	0.01512	0	0	1.13537	0.04993	3e-04	0.01011	0	0.03703	0.01807	0.06325	0	0.00687	0.12321	0	0.02488	0.00571	0	0	0	0	0.01836	0.00022	0	0.02716	0.00286	0.10481	0	0.03647	0	0	0	0	0	0	0	0	0	0	0	0	0.00921	0.07519	0.01733	0	0	0	0	0	0.01787	0.00524	0	0.03018	0	0	0	0.00693	0	0	0	0	0.00817	0.01057	0.00102	0	0	0	0	0	0.00551	0	0	0	0	0	0.10333
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09342	0	0	0	0	0	0	0	0	0	0.00053	0	0	0	0	0	0	0	0	0	0	0	0.00044	0	0	0	0	0.00073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_exigua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_exigua|t__GCF_000162875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08328	0	0	0	0	0	0	0	0	0	0.00053	0	0	0	0	0	0	0	0	0	0	0	0.00044	0	0	0	0	0.00073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes	14.19468	40.16899	35.88602	23.02981	1.57317	43.38685	4.75213	59.84342	2.76748	0.67384	29.73178	10.2547	5.85298	66.92823	21.83406	2.42884	72.73721	12.41448	15.10135	25.29745	2.62353	0.21631	1.84403	8.5704	21.55205	0	3.27914	34.2868	19.85021	2.08303	72.31193	14.73085	6.32918	10.86935	7.47649	9.4481	1.37293	48.6001	57.5681	6.42899	1.34928	25.27883	2.12139	78.00942	19.95702	16.21234	23.85361	1.82719	26.6449	0.28594	0.25793	56.76518	36.8465	11.45895	38.27053	1.90342	3.01523	7.61433	26.84495	24.74558	78.27795	28.04887	15.48225	64.08425	3.33181	28.27078	20.53223	58.19044	0.16876	0.35063	37.59596	13.64949	10.58453	12.80999	22.27006	17.85481	32.74374	33.52371	11.20324	23.49135	6.38913	34.58434	1.13235	4.20503	68.70242	12.71783	2.36469	58.72752	4.93344	8.48943	8.60781	15.45066	6.76105	11.04302	57.85713	0.88641	62.41252	80.10591	45.60988	2.97906	17.28305	24.97385	24.63248	3.88607	0.35922	0.08554	0.05354	85.19345	5.41199	26.33004	2.28407	5.35247	6.97184	1.21506	12.49845	1.69534	5.52967	9.3205	37.08068	6.89934	16.97357	3.7996	4.70736	7.43325	27.39543	8.73583	36.23434	9.28909	1.1265	11.85191	0	12.5356	19.72663	4.32886	0.19151	6.56321	13.00502	24.31956	5.28626	4.31355	50.17544	15.42518	19.0997	14.07263	5.11061	65.39894	18.6575	9.74844	14.61323	6.39684	3.75797	13.44604	16.74041	13.78164	9.64236	5.68777	12.73976	35.94802	21.58077	33.80588	25.30184	27.05989	88.18612	8.24525	6.79837	1.92086	15.82713	8.05787	13.51277	10.5772	5.74482	0.68942	24.79435	11.77461	1.94886	2.19575	22.97484	18.37027	0.58145	5.81111	3.7898	13.24213	23.35826	0.70055	11.90917	4.05107	9.14725	28.54144	0.26408	2.66934	5.14666	1.69404	0.14347	6.36406	5.68623	33.43141	0.35249	8.50821	10.28947	1.16729	7.2854	4.89053	0.57443	4.40426
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04606	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04606	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04606	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname|g__Bacteroidetes_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04606	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname|g__Bacteroidetes_noname|s__Bacteroidetes_bacterium_oral_taxon_272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04606	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname|g__Bacteroidetes_noname|s__Bacteroidetes_bacterium_oral_taxon_272|t__GCF_000442105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04606	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	14.19468	40.16899	35.88602	23.02981	1.57317	43.38685	4.75213	59.84342	2.76748	0.67384	29.73178	10.2547	5.85298	66.92823	21.82251	2.42884	72.73721	12.41448	15.10135	25.29745	2.62353	0.21631	1.84403	8.5704	21.55205	0	3.27914	34.2868	19.85021	2.07604	72.31193	14.73085	6.32918	10.86935	7.47649	9.4481	1.37293	48.6001	57.5681	6.42899	1.34928	25.27883	2.12139	78.00102	19.95702	16.21234	23.85361	1.82719	26.6449	0.28594	0.25793	56.76518	36.8465	11.45895	38.27053	1.90342	3.01523	7.61433	26.84495	24.74558	78.27795	28.04887	15.48225	64.08425	3.33181	28.27078	20.53223	58.19044	0.16876	0.35063	37.59596	13.64949	10.58453	12.80999	22.27006	17.85481	32.74374	33.52371	11.20324	23.49135	6.38913	34.58434	1.13235	4.20503	68.70242	12.71783	2.36469	58.72752	4.93344	8.48943	8.60781	15.45066	6.76105	11.04302	57.85713	0.88641	62.41252	80.10591	45.60988	2.97906	17.28305	24.97385	24.63248	3.88607	0.35922	0.08554	0.05354	85.19345	5.41199	26.33004	2.28407	5.35247	6.97184	1.21506	12.49845	1.69534	5.52967	9.3205	37.08068	6.89934	16.97357	3.7996	4.70736	7.43325	27.39543	8.73583	36.23434	9.28909	1.1265	11.84239	0	12.5356	19.72663	4.32886	0.19151	6.56321	13.00502	24.31956	5.28626	4.31355	50.17544	15.42518	19.0997	14.07263	5.11061	65.39894	18.6575	9.74844	14.61323	6.39684	3.75797	13.44604	16.74041	13.78164	9.64236	5.68777	12.73976	35.94802	21.58077	33.80588	25.30184	27.05989	88.18612	8.24525	6.79837	1.92086	15.82713	8.05787	13.51277	10.5772	5.74482	0.68942	24.79435	11.77461	1.94886	2.19575	22.97484	18.37027	0.58145	5.81111	3.7898	13.24213	23.35826	0.69722	11.90917	4.05107	9.14725	28.54144	0.26408	2.66934	5.1006	1.69404	0.14347	6.36406	5.68623	33.43141	0.35249	8.50821	10.28947	1.16729	7.2854	4.89053	0.57443	4.40426
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	14.19468	40.16899	35.88602	23.02981	1.57317	43.38685	4.75213	59.84342	2.76748	0.67384	29.73178	10.2547	5.85298	66.92823	21.82251	2.42884	72.73721	12.41448	15.10135	25.29745	2.62353	0.21631	1.84403	8.5704	21.55205	0	3.27914	34.2868	19.85021	2.07604	72.31193	14.73085	6.32918	10.86935	7.47649	9.4481	1.37293	48.6001	57.5681	6.42899	1.34928	25.27883	2.12139	78.00102	19.95702	16.21234	23.85361	1.82719	26.6449	0.28594	0.25793	56.76518	36.8465	11.45895	38.27053	1.90342	3.01523	7.61433	26.84495	24.74558	78.27795	28.04887	15.48225	64.08425	3.33181	28.27078	20.53223	58.19044	0.16876	0.35063	37.59596	13.64949	10.58453	12.80999	22.27006	17.85481	32.74374	33.52371	11.20324	23.49135	6.38913	34.58434	1.13235	4.20503	68.70242	12.71783	2.36469	58.72752	4.93344	8.48943	8.60781	15.45066	6.76105	11.04302	57.85713	0.88641	62.41252	80.10591	45.60988	2.97906	17.28305	24.97385	24.63248	3.88607	0.35922	0.08554	0.05354	85.19345	5.41199	26.33004	2.28407	5.35247	6.97184	1.21506	12.49845	1.69534	5.52967	9.3205	37.08068	6.89934	16.97357	3.7996	4.70736	7.43325	27.39543	8.73583	36.23434	9.28909	1.1265	11.84239	0	12.5356	19.72663	4.32886	0.19151	6.56321	13.00502	24.31956	5.28626	4.31355	50.17544	15.42518	19.0997	14.07263	5.11061	65.39894	18.6575	9.74844	14.61323	6.39684	3.75797	13.44604	16.74041	13.78164	9.64236	5.68777	12.73976	35.94802	21.58077	33.80588	25.30184	27.05989	88.18612	8.24525	6.79837	1.92086	15.82713	8.05787	13.51277	10.5772	5.74482	0.68942	24.79435	11.77461	1.94886	2.19575	22.97484	18.37027	0.58145	5.81111	3.7898	13.24213	23.35826	0.69722	11.90917	4.05107	9.14725	28.54144	0.26408	2.66934	5.1006	1.69404	0.14347	6.36406	5.68623	33.43141	0.35249	8.50821	10.28947	1.16729	7.2854	4.89053	0.57443	4.40426
